Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
1-800-273-8255,"Logic, Alessia Cara, Khalid",Everybody,1HiN2YXZcc3EjmVZ4WjfBk,5tz69p7tJuGPeMGwNTxYuV,73,2017-05-05,250173,True,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV,0.62,0.574,5,-7.788,0,0.0479,0.569,0.0,0.19,0.357,100.023
survivin',Bastille,survivin',3aFhgv33grS5tIxAUqwtBC,1lwvJQGhdq6Kyr4BBquf23,49,2020-09-22,173206,False,https://open.spotify.com/track/1lwvJQGhdq6Kyr4BBquf23,0.787,0.78,7,-5.023,1,0.129,0.25,0.0,0.0908,0.68,95.035
Gotta Be A Reason,Alec Benjamin,Narrated For You,6jKZplJpy21R5lHaYHHjmZ,0IrtQ83z9jylZaLEJK2eoy,54,2018-11-16,210354,False,https://open.spotify.com/track/0IrtQ83z9jylZaLEJK2eoy,0.771,0.518,4,-7.582,0,0.0404,0.806,2.48e-05,0.104,0.277,79.997
Under Pressure,"Queen, David Bowie",Hot Space,19HKPNkfGggYUnvdKHGTKJ,7rgZTzcjofQJY5kz9FO3OS,49,1982-05-03,246907,False,https://open.spotify.com/track/7rgZTzcjofQJY5kz9FO3OS,0.669,0.526,2,-12.745,1,0.0522,0.387,0.0,0.0879,0.452,113.453
The Pretender,Foo Fighters,"Echoes, Silence, Patience & Grace",3ilXDEG0xiajK8AbqboeJz,7x8dCjCr0x6x2lXKujYD34,78,2007-09-25,269373,False,https://open.spotify.com/track/7x8dCjCr0x6x2lXKujYD34,0.433,0.959,9,-4.04,1,0.0431,0.000917,0.0,0.028,0.365,172.984
Whataya Want from Me,Adam Lambert,For Your Entertainment (Tour Edition),2FZvplyJuJuNLEifiZx3QF,7f9e0xIl1s4O1odwkD0fpu,54,2009,227320,False,https://open.spotify.com/track/7f9e0xIl1s4O1odwkD0fpu,0.438,0.672,11,-4.706,0,0.0429,0.0055,0.0,0.0583,0.457,185.934
Control,Halsey,BADLANDS (Deluxe),5OZJflQcQCdZLQjtUudCin,3SKzTIl9mW0DadTys9SFo3,68,2015-08-28,214762,False,https://open.spotify.com/track/3SKzTIl9mW0DadTys9SFo3,0.55,0.675,4,-5.637,0,0.0332,0.399,0.0,0.181,0.206,119.882
Empty,"Boyinaband, Jaiden",Empty,78V9VXZdRCch6mt9AIYq7w,6yZ2uz57VpBCglQ1bcAp3q,43,2018-06-08,265574,True,https://open.spotify.com/track/6yZ2uz57VpBCglQ1bcAp3q,0.84,0.719,4,-8.004,0,0.166,0.0518,1.67e-06,0.0949,0.493,121.978
Despicable,grandson,a modern tragedy vol. 1,2hjeKa2x3W9F8GwlqBKBWV,5IPT4Noqvo7bsfbWUOHcG4,53,2018-06-15,223893,False,https://open.spotify.com/track/5IPT4Noqvo7bsfbWUOHcG4,0.576,0.782,1,-6.167,1,0.0346,0.0123,0.00241,0.467,0.367,87.971
Let’s Go,Stuck in the Sound,Pursuit,4ML88AyBHneIkmTHJunWCC,1XsN9Flu0VvZpXmrkBtZGt,56,2012-01-30,211453,False,https://open.spotify.com/track/1XsN9Flu0VvZpXmrkBtZGt,0.486,0.623,11,-5.07,0,0.0309,0.0097,3.4e-05,0.178,0.275,89.454
Send Me An Angel,Scorpions,Crazy World,3dLKM8bD8R3H3XnSOXGjTF,1bKQ48M9onID2kbSpRy8kK,70,1990-01-01,273333,False,https://open.spotify.com/track/1bKQ48M9onID2kbSpRy8kK,0.153,0.417,1,-11.587,1,0.0318,0.434,0.000622,0.211,0.166,80.87
House of Pain,Faster Pussycat,Wake Me When It's Over,37X0TI6pz7fSg2aUREHzys,46Qy1xAr2K7rylRYwdQ6Gw,52,1989-08-01,344613,False,https://open.spotify.com/track/46Qy1xAr2K7rylRYwdQ6Gw,0.508,0.727,0,-6.159,1,0.0346,0.0475,3.86e-05,0.0869,0.249,121.323
The Sound of Silence,Disturbed,Immortalized (Deluxe Edition),1ROVEUk4lc2vD4a0IN1TWS,0eZBeB2xFIS65jQHerispi,67,2015-08-14,248467,False,https://open.spotify.com/track/0eZBeB2xFIS65jQHerispi,0.322,0.28,6,-9.367,0,0.0281,0.468,1.1e-06,0.102,0.175,85.794
Help,Papa Roach,Crooked Teeth (Deluxe),4KTUNKma9YpiSbioeui4pW,6EaGMOSWL2LndwY6gClBaD,3,2017-05-19,214797,False,https://open.spotify.com/track/6EaGMOSWL2LndwY6gClBaD,0.383,0.9,7,-5.42,1,0.134,0.00085,1.94e-06,0.271,0.286,183.96
Comfortably Numb,Pink Floyd,The Wall,5Dbax7G8SWrP9xyzkOvy2F,5HNCy40Ni5BZJFw1TKzRsC,72,1979-11-30,382297,False,https://open.spotify.com/track/5HNCy40Ni5BZJFw1TKzRsC,0.472,0.366,11,-12.595,0,0.0286,0.15,0.312,0.0837,0.171,127.163
Nothing Else Matters,Metallica,Metallica,2Kh43m04B1UkVcpcRa1Zug,0nLiqZ6A27jJri2VCalIUs,79,1991-08-12,388267,False,https://open.spotify.com/track/0nLiqZ6A27jJri2VCalIUs,0.553,0.362,4,-11.218,0,0.0263,0.0458,6.01e-06,0.075,0.158,142.352
Lonely Day,System Of A Down,Hypnotize,3QxX3NbWyLlLG6lP1xveL3,1VNWaY3uNfoeWqb5U8x2QX,78,2005-11-22,167907,False,https://open.spotify.com/track/1VNWaY3uNfoeWqb5U8x2QX,0.47,0.796,8,-3.277,0,0.0336,0.362,1.1e-06,0.133,0.215,113.108
さよならごっこ,amazarashi,BOYCOTT,1PdHNXd6zUwYxcadffHHBX,7ha9B32izQ0Ni2RtSzm2C4,0,2020-03-11,272613,False,https://open.spotify.com/track/7ha9B32izQ0Ni2RtSzm2C4,0.621,0.717,6,-5.096,0,0.0853,0.384,0.0,0.193,0.591,146.984
"Paint It, Black",The Rolling Stones,Aftermath,72qrnM4yUNMDDlWiqKc8iY,63T7DJ1AFDD6Bn8VzG6JE8,83,1966-04-15,202267,False,https://open.spotify.com/track/63T7DJ1AFDD6Bn8VzG6JE8,0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691
Mind Is A Prison,Alec Benjamin,These Two Windows,3SzqS1H5dj8f450YhV9YbP,2hGQDYmjkwTS0J7Q2bM2sF,59,2020-05-29,161697,False,https://open.spotify.com/track/2hGQDYmjkwTS0J7Q2bM2sF,0.656,0.645,5,-5.442,0,0.0397,0.504,0.0,0.18,0.669,75.473
Fade To Black - Remastered,Metallica,Ride The Lightning (Deluxe / Remastered),4K5E5mWQbECn9aThu6Xnkx,5nekfiTN45vlxG0eNJQQye,67,1984-07-26,417227,False,https://open.spotify.com/track/5nekfiTN45vlxG0eNJQQye,0.256,0.924,7,-6.685,1,0.113,0.00369,0.234,0.114,0.28,113.574
Righteous,Juice WRLD,Legends Never Die,6n9DKpOxwifT5hOXtgLZSL,5dOxHHMOFAbG3VH23t0xNm,70,2020-07-10,242181,True,https://open.spotify.com/track/5dOxHHMOFAbG3VH23t0xNm,0.706,0.625,0,-7.426,1,0.0314,0.0417,0.0,0.129,0.225,142.948
How to Disappear Completely,Radiohead,Kid A,6GjwtEZcfenmOf6l18N7T7,2rtGaCAeYtmcIvuZsvgTf6,66,2000-10-02,356333,False,https://open.spotify.com/track/2rtGaCAeYtmcIvuZsvgTf6,0.167,0.302,6,-11.644,0,0.0345,0.316,0.797,0.11,0.19,102.026
Should Have Known Better,Sufjan Stevens,Carrie & Lowell,0U8DeqqKDgIhIiWOdqiQXE,5I6y1KWmUoV5YCaIEcs1qs,0,2015-03-31,307698,False,https://open.spotify.com/track/5I6y1KWmUoV5YCaIEcs1qs,0.571,0.172,7,-20.7,1,0.0318,0.979,0.275,0.124,0.297,90.972
Rock Bottom,Eminem,The Slim Shady LP,0vE6mttRTBXRe9rKghyr1l,3guazByz82uD2zHf8q7As1,56,1999-02-23,214093,True,https://open.spotify.com/track/3guazByz82uD2zHf8q7As1,0.859,0.642,6,-3.068,1,0.13,0.096,0.00927,0.21,0.353,92.055
Suicide Is Painless,M*A*S*H,70s 100 Hits,1k7WkNHGPNPnri2tsowvtg,6WcSx88BaYwHtT6izZSDRL,39,2010-03-01,171667,False,https://open.spotify.com/track/6WcSx88BaYwHtT6izZSDRL,0.571,0.369,11,-11.869,0,0.0423,0.725,0.0,0.108,0.378,116.082
Basket Case,Green Day,Dookie,4uG8q3GPuWHQlRbswMIRS6,6L89mwZXSOwYl76YXfX13s,81,1994-02-01,181533,False,https://open.spotify.com/track/6L89mwZXSOwYl76YXfX13s,0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064
Tear Down the Wall,Art Of Dying,Rise Up,5iP7K8ISRFPTllruB71AMS,6MNtx2I1QaELzsLDaxAchs,0,2015-12-11,184977,False,https://open.spotify.com/track/6MNtx2I1QaELzsLDaxAchs,0.58,0.964,2,-3.591,1,0.0417,0.000295,2.73e-05,0.325,0.619,96.009
SAD!,XXXTENTACION,?,2Ti79nwTsont5ZHfdxIzAm,3ee8Jmje8o58CHK66QrVC2,80,2018-03-16,166606,True,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023
Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,6tkjU4Umpo79wwkgPMV3nZ,285pBltuF7vW8TeWk8hdRR,82,2018-12-10,239836,True,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903
Drop Dead,grandson,Death Of An Optimist,0n5LA95QYWAs9wwkkA8Sji,4z8pnBPXohWhc7xaH4B5zt,36,2020-12-04,189236,True,https://open.spotify.com/track/4z8pnBPXohWhc7xaH4B5zt,0.582,0.736,8,-5.969,1,0.0389,0.00381,0.0,0.0663,0.495,148.052
Empty,Juice WRLD,Death Race For Love,1GYVNOzwhx1nMcIJDogSNp,41MCdlvXOl62B7Kv86Bb1v,1,2019-03-08,248431,True,https://open.spotify.com/track/41MCdlvXOl62B7Kv86Bb1v,0.745,0.561,0,-4.869,1,0.0807,0.0758,0.0,0.133,0.449,77.557
Carnivore,STARSET,Transmissions (Deluxe Version),0Ypo27qP4udOQKGfNT48hn,4j41Du0uMXJrfEY7Xe9CDO,58,2014,262689,False,https://open.spotify.com/track/4j41Du0uMXJrfEY7Xe9CDO,0.328,0.635,4,-6.772,1,0.0786,0.002,1.84e-05,0.108,0.0484,74.965
Numb,Linkin Park,Meteora,4Gfnly5CzMJQqkUFfoHaP3,2nLtzopw4rPReszdYBJU6h,85,2003-09-16,187520,False,https://open.spotify.com/track/2nLtzopw4rPReszdYBJU6h,0.488,0.87,6,-4.185,0,0.0421,0.00353,0.0,0.484,0.211,110.072
